type	id	tree
run	SRR33789626	notree
run	SRR33789625	notree
run	SRR33789624	notree
run	SRR33789623	notree
run	SRR33789621	notree
run	SRR33789620	notree
run	SRR33789619	notree
run	SRR33789618	notree
run	SRR33789617	notree
run	SRR33789616	notree
run	SRR33789615	notree
run	SRR33789614	notree
run	SRR33789613	notree
run	SRR33789612	notree
run	SRR33789610	notree
run	SRR33789609	notree
run	SRR33789608	notree
run	SRR33789607	notree
run	SRR33789606	notree
run	SRR33789605	notree
run	SRR33789604	notree
run	SRR33789603	notree
run	SRR33789602	notree
run	SRR33624024	notree
run	SRR33624013	notree
run	SRR33624002	notree
run	SRR33624029	notree
run	SRR33624028	notree
run	SRR33624027	notree
run	SRR33624026	notree
run	SRR33624025	notree
run	SRR33624023	notree
run	SRR33624022	notree
run	SRR33624021	notree
run	SRR33624020	notree
run	SRR33624019	notree
run	SRR33624018	notree
run	SRR33624017	notree
run	SRR33624016	notree
run	SRR33624015	notree
run	SRR33624014	notree
run	SRR33624012	notree
run	SRR33624011	notree
run	SRR33624010	notree
run	SRR33624009	notree
run	SRR33624008	notree
run	SRR33624007	notree
run	SRR33624006	notree
run	SRR33624005	notree
run	SRR33624004	notree
run	SRR33624003	notree
run	SRR33789657	notree
run	SRR33789656	notree
run	SRR33789655	notree
run	SRR33789654	notree
run	SRR33789653	notree
run	SRR33789652	notree
run	SRR33789651	notree
run	SRR33789650	notree
run	SRR33789649	notree
run	SRR33789648	notree
run	SRR33789647	notree
run	SRR33789646	notree
run	SRR33624057	notree
run	SRR33624055	notree
run	SRR33624044	notree
run	SRR33624084	notree
run	SRR33624073	notree
run	SRR33624062	notree
run	SRR33624061	notree
run	SRR33624060	notree
run	SRR33624059	notree
run	SRR33624058	notree
run	SRR33624056	notree
run	SRR33624033	notree
run	SRR33624032	notree
run	SRR33624031	notree
run	SRR33624030	notree
run	SRR33624054	notree
run	SRR33624053	notree
run	SRR33624052	notree
run	SRR33624051	notree
run	SRR33624050	notree
run	SRR33624049	notree
run	SRR33624048	notree
run	SRR33624047	notree
run	SRR33624046	notree
run	SRR33624045	notree
run	SRR33624043	notree
run	SRR33624042	notree
run	SRR33624041	notree
run	SRR33624040	notree
run	SRR33624039	notree
run	SRR33624038	notree
run	SRR33624037	notree
run	SRR33624036	notree
run	SRR33624035	notree
run	SRR33624034	notree
run	SRR33624089	notree
run	SRR33624088	notree
run	SRR33624087	notree
run	SRR33624086	notree
run	SRR33624085	notree
run	SRR33624083	notree
run	SRR33624082	notree
run	SRR33624081	notree
run	SRR33624080	notree
run	SRR33624079	notree
run	SRR33624078	notree
run	SRR33624077	notree
run	SRR33624076	notree
run	SRR33624075	notree
run	SRR33624074	notree
run	SRR33624072	notree
run	SRR33624071	notree
run	SRR33624070	notree
run	SRR33624069	notree
run	SRR33624068	notree
run	SRR33624067	notree
run	SRR33624066	notree
run	SRR33624065	notree
run	SRR33624064	notree
run	SRR33624063	notree
run	SRR33624119	notree
run	SRR33624118	notree
run	SRR33624117	notree
run	SRR33624106	notree
run	SRR33624095	notree
run	SRR33624129	notree
run	SRR33624128	notree
run	SRR33624127	notree
run	SRR33624126	notree
run	SRR33624125	notree
run	SRR33624124	notree
run	SRR33624123	notree
run	SRR33624122	notree
run	SRR33624121	notree
run	SRR33624120	notree
run	SRR33624116	notree
run	SRR33624115	notree
run	SRR33624114	notree
run	SRR33624113	notree
run	SRR33624112	notree
run	SRR33624111	notree
run	SRR33624110	notree
run	SRR33624109	notree
run	SRR33624108	notree
run	SRR33624107	notree
run	SRR33624105	notree
run	SRR33624104	notree
run	SRR33624103	notree
run	SRR33624102	notree
run	SRR33624101	notree
run	SRR33624100	notree
run	SRR33624099	notree
run	SRR33624098	notree
run	SRR33624097	notree
run	SRR33624096	notree
run	SRR33624094	notree
run	SRR33624093	notree
run	SRR33624092	notree
run	SRR33624091	notree
run	SRR33624090	notree
run	SRR33531270	notree
run	SRR33531269	notree
run	SRR33531268	notree
run	SRR33531278	notree
run	SRR33531267	notree
run	SRR33531255	notree
run	SRR33531282	notree
run	SRR33531281	notree
run	SRR33531280	notree
run	SRR33531279	notree
run	SRR33531277	notree
run	SRR33531276	notree
run	SRR33531275	notree
run	SRR33531274	notree
run	SRR33531273	notree
run	SRR33531272	notree
run	SRR33531271	notree
run	SRR33531266	notree
run	SRR33531265	notree
run	SRR33531264	notree
run	SRR33531263	notree
run	SRR33531262	notree
run	SRR33531261	notree
run	SRR33531260	notree
run	SRR33531259	notree
run	SRR33531258	notree
run	SRR33531257	notree
run	SRR33531256	notree
run	SRR33531254	notree
run	SRR33531253	notree
run	SRR33531252	notree
run	SRR33531251	notree
run	SRR33531250	notree
run	SRR33531249	notree
run	SRR33531248	notree
run	SRR33531247	notree
run	SRR33531246	notree
run	SRR33531245	notree
run	SRR33624141	notree
run	SRR33624130	notree
run	SRR33624151	notree
run	SRR33624150	notree
run	SRR33624149	notree
run	SRR33624148	notree
run	SRR33624147	notree
run	SRR33624146	notree
run	SRR33624145	notree
run	SRR33624144	notree
run	SRR33624143	notree
run	SRR33624142	notree
run	SRR33624140	notree
run	SRR33624139	notree
run	SRR33624138	notree
run	SRR33624137	notree
run	SRR33624136	notree
run	SRR33624135	notree
run	SRR33624134	notree
run	SRR33624133	notree
run	SRR33624132	notree
run	SRR33624131	notree
run	SRR33531289	notree
run	SRR33531300	notree
run	SRR33531312	notree
run	SRR33531305	notree
run	SRR33531304	notree
run	SRR33531303	notree
run	SRR33531302	notree
run	SRR33531301	notree
run	SRR33531299	notree
run	SRR33531298	notree
run	SRR33531297	notree
run	SRR33531296	notree
run	SRR33531295	notree
run	SRR33531294	notree
run	SRR33531293	notree
run	SRR33531292	notree
run	SRR33531291	notree
run	SRR33531290	notree
run	SRR33531288	notree
run	SRR33531287	notree
run	SRR33531286	notree
run	SRR33531285	notree
run	SRR33531284	notree
run	SRR33531283	notree
run	SRR33531322	notree
run	SRR33531321	notree
run	SRR33531320	notree
run	SRR33531319	notree
run	SRR33531318	notree
run	SRR33531317	notree
run	SRR33531316	notree
run	SRR33531315	notree
run	SRR33531314	notree
run	SRR33531313	notree
run	SRR33531311	notree
run	SRR33531310	notree
run	SRR33531309	notree
run	SRR33531308	notree
run	SRR33531307	notree
run	SRR33531306	notree
run	SRR33531352	notree
run	SRR33531341	notree
run	SRR33531330	notree
run	SRR33531377	notree
run	SRR33531366	notree
run	SRR33531355	notree
run	SRR33531354	notree
run	SRR33531353	notree
run	SRR33531351	notree
run	SRR33531350	notree
run	SRR33531349	notree
run	SRR33531348	notree
run	SRR33531347	notree
run	SRR33531346	notree
run	SRR33531335	notree
run	SRR33531334	notree
run	SRR33531333	notree
run	SRR33531332	notree
run	SRR33531331	notree
run	SRR33531328	notree
run	SRR33531327	notree
run	SRR33531326	notree
run	SRR33531345	notree
run	SRR33531344	notree
run	SRR33531343	notree
run	SRR33531342	notree
run	SRR33531340	notree
run	SRR33531339	notree
run	SRR33531338	notree
run	SRR33531337	notree
run	SRR33531336	notree
run	SRR33531329	notree
run	SRR33531325	notree
run	SRR33531324	notree
run	SRR33531323	notree
run	SRR33531382	notree
run	SRR33531381	notree
run	SRR33531380	notree
run	SRR33531379	notree
run	SRR33531378	notree
run	SRR33531376	notree
run	SRR33531375	notree
run	SRR33531374	notree
run	SRR33531373	notree
run	SRR33531372	notree
run	SRR33531371	notree
run	SRR33531370	notree
run	SRR33531369	notree
run	SRR33531368	notree
run	SRR33531367	notree
run	SRR33531365	notree
run	SRR33531364	notree
run	SRR33531363	notree
run	SRR33531362	notree
run	SRR33531361	notree
run	SRR33531360	notree
run	SRR33531359	notree
run	SRR33531358	notree
run	SRR33531357	notree
run	SRR33531356	notree
run	SRR33502066	notree
run	SRR33502042	notree
run	SRR33502041	notree
run	SRR33502040	notree
run	SRR33502039	notree
run	SRR33502038	notree
run	SRR33502037	notree
run	SRR33502036	notree
run	SRR33502035	notree
run	SRR33502056	notree
run	SRR33502045	notree
run	SRR33502065	notree
run	SRR33502064	notree
run	SRR33502063	notree
run	SRR33502062	notree
run	SRR33502061	notree
run	SRR33502060	notree
run	SRR33502059	notree
run	SRR33502058	notree
run	SRR33502057	notree
run	SRR33502055	notree
run	SRR33502054	notree
run	SRR33502053	notree
run	SRR33502052	notree
run	SRR33502051	notree
run	SRR33502050	notree
run	SRR33502049	notree
run	SRR33502048	notree
run	SRR33502047	notree
run	SRR33502046	notree
run	SRR33502044	notree
run	SRR33502043	notree
run	SRR33531390	notree
run	SRR33531389	notree
run	SRR33531388	notree
run	SRR33531387	notree
run	SRR33531386	notree
run	SRR33531385	notree
run	SRR33531384	notree
run	SRR33531383	notree
run	SRR33502069	notree
run	SRR33502068	notree
run	SRR33502122	notree
run	SRR33502111	notree
run	SRR33502100	notree
run	SRR33502089	notree
run	SRR33502078	notree
run	SRR33502067	notree
run	SRR33502126	notree
run	SRR33502125	notree
run	SRR33502124	notree
run	SRR33502123	notree
run	SRR33502121	notree
run	SRR33502120	notree
run	SRR33502119	notree
run	SRR33502118	notree
run	SRR33502117	notree
run	SRR33502116	notree
run	SRR33502115	notree
run	SRR33502114	notree
run	SRR33502113	notree
run	SRR33502112	notree
run	SRR33502110	notree
run	SRR33502109	notree
